code,name,added_date,type,entry_price,target_price,stop_loss,risk_pct,risk_ratio,reason,score,status,top20_date,valid_days,source,expires_date,notes
600036,招商银行,2026-04-17,价值投资,39.52,49.4,33.59,25.0,2.5,价值投资,56,有效,2026-04-17,9999,auto_scan,,PE=6.64 PB=0.91
601398,工商银行,2026-04-17,价值投资,7.44,9.3,6.32,25.0,2.5,价值投资,56,有效,2026-04-17,9999,auto_scan,,PE=7.19 PB=0.69
601166,兴业银行,2026-04-17,价值投资,18.4,23.0,15.64,25.0,2.5,价值投资,55,有效,2026-04-17,9999,auto_scan,,PE=5.03 PB=0.48
601669,中国电建,2026-04-17,价值投资,5.71,7.14,4.85,25.0,2.5,价值投资,55,有效,2026-04-17,9999,auto_scan,,PE=9.18 PB=0.68
000651,格力电器,2026-04-17,价值投资,36.95,46.19,31.41,25.0,2.5,价值投资,53,有效,2026-04-17,9999,auto_scan,,PE=6.53 PB=1.49
601668,中国建筑,2026-04-17,价值投资,4.94,6.18,4.2,25.0,2.5,价值投资,51,有效,2026-04-17,9999,auto_scan,,PE=4.57 PB=0.42
000100,TCL科技,2026-04-17,价值投资,4.3,5.38,3.65,25.0,2.5,价值投资,51,有效,2026-04-17,9999,auto_scan,,PE=19.8 PB=1.46
601939,建设银行,2026-04-17,价值投资,9.41,11.76,8.0,25.0,2.5,价值投资,51,有效,2026-04-17,9999,auto_scan,,PE=7.26 PB=0.71
600919,江苏银行,2026-04-17,价值投资,10.83,13.54,9.21,25.0,2.5,价值投资,51,有效,2026-04-17,9999,auto_scan,,PE=5.81 PB=0.8
600030,中信证券,2026-04-17,价值投资,26.26,32.83,22.32,25.0,2.5,价值投资,50,有效,2026-04-17,9999,auto_scan,,PE=11.53 PB=1.16
